 Name,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Enes Freedom,72,1758,22.4,.636,.007,.292,16.8,31.9,24.2,7.2,0.9,2.4,11.0,17.4,5.7,1.7,7.5,.204,2.1,-1.4,0.6,1.2
Anthony Edwards,72,2314,13.9,.523,.429,.225,2.7,13.5,7.9,14.6,1.7,1.3,10.7,27.0,-0.6,1.4,0.8,.017,-0.4,-1.7,-2.1,-0.1
Dwayne Bacon,72,1853,9.9,.490,.285,.242,1.7,11.2,6.3,7.9,1.2,0.2,5.4,19.8,-0.3,0.9,0.5,.013,-3.7,-1.4,-5.1,-1.5
Bojan Bogdanović,72,2216,14.0,.588,.498,.286,2.0,11.1,6.7,9.1,1.0,0.1,10.9,22.8,2.7,2.5,5.2,.113,0.2,-0.7,-0.4,0.9
Georges Niang,72,1154,11.4,.602,.721,.057,2.7,13.0,8.1,7.3,1.1,0.6,10.9,17.4,1.2,1.4,2.6,.108,-0.4,0.1,-0.3,0.5
Mikal Bridges,72,2348,16.4,.667,.471,.196,3.7,11.1,7.5,8.8,1.6,2.4,7.3,14.9,5.4,2.6,8.0,.164,2.4,0.9,3.3,3.1
Nikola Jokić,72,2488,31.3,.647,.183,.305,9.4,26.1,17.8,40.4,1.9,1.9,13.1,29.6,12.2,3.4,15.6,.301,9.1,3.0,12.1,8.8
Ivica Zubac,72,1609,19.1,.693,.010,.434,13.6,22.4,18.1,7.9,0.7,3.4,14.7,15.1,4.8,2.1,6.9,.206,0.6,0.4,1.0,1.2
RJ Barrett,72,2511,13.4,.535,.292,.260,3.0,14.8,8.9,13.8,1.1,0.8,10.5,23.4,0.9,3.1,4.1,.078,-0.9,-0.3,-1.2,0.5
Duncan Robinson,72,2262,11.0,.628,.855,.105,0.4,12.1,6.3,8.3,0.9,0.9,9.7,16.6,1.9,1.8,3.7,.079,-0.2,-0.8,-1.0,0.6
Justin Holiday,72,2183,10.4,.571,.725,.136,1.6,11.1,6.4,7.0,1.6,1.5,7.5,14.0,1.4,1.8,3.1,.069,-0.9,-0.1,-1.0,0.6
Andrew Wiggins,71,2364,15.0,.568,.348,.225,3.7,11.8,7.8,10.9,1.3,2.6,9.8,23.3,1.2,2.7,3.9,.080,0.0,-0.4,-0.4,1.0
Eric Bledsoe,71,2111,11.5,.533,.486,.267,1.5,11.1,6.3,17.3,1.2,1.1,12.3,18.5,1.1,1.3,2.3,.053,-1.2,-0.9,-2.0,0.0
Buddy Hield,71,2433,12.8,.567,.727,.105,1.3,14.1,7.6,14.7,1.2,1.0,11.1,20.7,1.5,0.7,2.2,.044,1.0,-1.6,-0.6,0.9
Patrick Williams,71,1983,10.5,.562,.261,.237,3.7,14.4,9.1,6.7,1.6,2.0,14.4,14.9,0.3,2.2,2.5,.060,-2.8,0.4,-2.4,-0.2
Royce O'Neale,71,2241,9.9,.599,.706,.117,4.4,18.0,11.5,10.4,1.2,1.2,16.7,9.6,2.3,3.3,5.6,.121,-1.2,2.1,1.0,1.7
Rudy Gobert,71,2187,23.5,.683,.007,.646,12.2,33.5,23.3,6.0,0.9,7.0,13.7,17.0,6.1,5.2,11.3,.248,2.1,2.8,4.9,3.8
Julius Randle,71,2667,19.7,.567,.294,.325,3.5,25.7,14.7,27.2,1.2,0.6,13.8,29.3,3.4,4.3,7.8,.140,2.9,0.9,3.8,3.9
Solomon Hill,71,1513,6.7,.498,.711,.154,3.1,12.2,7.7,6.4,1.6,0.6,11.7,10.4,0.1,1.2,1.3,.040,-3.0,0.5,-2.5,-0.2
Robin Lopez,71,1354,16.7,.661,.042,.322,11.1,10.2,10.6,5.9,0.5,2.7,13.4,17.1,2.8,0.9,3.7,.131,0.2,-1.2,-1.0,0.4
Robert Covington,70,2243,11.2,.553,.699,.122,2.8,19.8,11.1,6.8,2.2,3.4,10.7,11.5,1.4,2.4,3.7,.080,-1.3,1.5,0.2,1.2
Tyus Jones,70,1222,15.0,.511,.339,.109,1.8,10.4,6.1,28.6,2.5,0.4,10.0,16.6,1.5,1.3,2.8,.110,-0.1,0.9,0.8,0.9
Naz Reid,70,1347,18.2,.599,.299,.286,6.4,20.0,12.9,8.7,1.2,4.9,9.5,22.5,1.9,1.3,3.2,.113,-0.1,-0.2,-0.2,0.6
Jae'Sean Tate,70,2043,13.8,.576,.312,.235,6.6,13.2,9.8,13.2,2.0,1.6,12.4,16.4,2.2,1.6,3.8,.088,-1.6,0.3,-1.4,0.3
Saddiq Bey,70,1909,12.6,.567,.666,.213,2.5,16.2,9.3,7.6,1.3,0.6,7.4,18.7,1.6,1.7,3.3,.082,0.3,-0.8,-0.5,0.7
Chris Paul,70,2199,21.4,.599,.294,.206,1.3,14.5,8.0,40.9,2.2,0.8,14.0,22.6,6.5,2.7,9.2,.201,3.5,1.1,4.6,3.6
Tim Hardaway Jr.,70,1985,15.7,.589,.581,.191,1.1,11.5,6.4,9.8,0.8,0.5,6.1,23.4,3.2,1.2,4.3,.105,2.0,-1.7,0.4,1.2
Brook Lopez,70,1902,15.4,.611,.439,.222,6.0,13.0,9.6,3.5,1.0,4.8,8.3,16.9,3.1,2.2,5.3,.133,0.0,0.0,0.0,0.9
Bryn Forbes,70,1354,12.8,.631,.645,.115,0.9,7.6,4.3,4.5,0.8,0.1,7.3,18.5,2.0,0.7,2.7,.096,0.4,-1.7,-1.3,0.2
Carmelo Anthony,69,1690,14.6,.547,.418,.198,2.0,11.8,6.8,9.2,1.3,2.0,6.7,23.1,1.7,0.8,2.6,.073,0.2,-1.3,-1.1,0.4
Montrezl Harrell,69,1580,22.7,.650,.017,.425,11.3,19.1,15.2,7.7,1.4,2.8,9.4,21.7,4.5,2.7,7.3,.221,2.3,0.7,3.0,2.0
Kyle Anderson,69,1887,17.2,.578,.397,.280,2.9,19.5,11.1,18.3,2.1,2.7,10.4,18.5,2.9,2.7,5.6,.143,1.4,1.9,3.3,2.5
Keldon Johnson,69,1968,13.8,.557,.257,.278,4.9,17.6,11.1,8.9,1.0,1.0,9.0,19.2,1.6,1.7,3.3,.079,-0.9,-0.7,-1.6,0.2
Jakob Poeltl,69,1845,17.5,.612,.000,.288,12.4,19.3,15.8,10.1,1.2,5.7,14.6,13.4,3.2,2.5,5.7,.148,-0.5,1.2,0.8,1.3
Coby White,69,2156,12.0,.540,.503,.157,1.5,13.0,7.3,21.8,0.9,0.6,13.9,22.5,0.7,1.7,2.4,.052,-1.2,-1.2,-2.4,-0.2
Deandre Ayton,69,2115,20.3,.653,.029,.252,12.4,26.3,19.5,6.8,1.0,3.4,11.9,18.2,5.3,3.1,8.4,.191,1.1,0.1,1.2,1.7
Joe Harris,69,2141,14.1,.663,.628,.089,2.3,10.1,6.4,8.4,1.0,0.6,7.8,16.2,4.1,1.1,5.2,.117,1.5,-1.2,0.4,1.3
Pat Connaughton,69,1575,11.3,.578,.703,.103,4.4,17.3,11.1,6.3,1.5,1.3,7.5,11.6,1.8,1.7,3.5,.108,-0.5,0.5,0.0,0.8
Kevin Huerter,69,2126,12.2,.541,.528,.088,2.0,9.7,6.0,16.3,1.9,0.7,9.4,17.2,1.9,1.7,3.6,.080,-0.6,0.4,-0.3,1.0
T.J. McConnell,69,1796,16.9,.583,.098,.098,3.3,12.1,7.7,34.3,3.4,1.0,20.9,15.3,2.6,2.2,4.8,.128,-0.2,1.7,1.4,1.5
Terry Rozier,69,2383,17.1,.575,.504,.178,2.1,11.8,6.9,20.0,1.8,1.1,9.5,24.4,3.3,2.0,5.2,.105,2.2,-0.5,1.6,2.2
Danny Green,69,1934,12.1,.582,.794,.074,3.2,11.5,7.4,8.3,2.3,2.6,10.7,14.0,1.6,3.1,4.6,.115,0.4,1.5,1.9,1.9
Dwight Howard,69,1196,17.8,.610,.066,.693,17.8,35.3,26.7,7.2,1.2,4.7,22.1,18.2,1.3,2.6,4.0,.159,-2.1,0.6,-1.5,0.1
Kyle Kuzma,68,1954,12.7,.546,.502,.128,6.3,17.7,12.0,9.8,0.9,1.9,12.4,20.3,0.4,2.9,3.3,.080,-0.4,-0.1,-0.4,0.8
Desmond Bane,68,1519,12.2,.600,.543,.098,2.1,12.6,7.3,10.6,1.3,0.9,10.2,16.1,1.6,1.3,2.9,.093,-0.6,-0.2,-0.8,0.5
Patty Mills,68,1685,11.8,.570,.702,.128,1.1,6.3,3.7,13.5,1.2,0.2,9.3,18.4,1.3,0.8,2.2,.062,0.0,-1.2,-1.2,0.4
Ricky Rubio,68,1772,13.5,.516,.430,.301,1.6,12.4,6.8,33.3,2.6,0.2,16.4,16.0,1.9,1.3,3.1,.085,-1.9,0.0,-1.9,0.0
Thaddeus Young,68,1652,20.3,.578,.068,.171,11.4,16.9,14.2,27.1,2.2,2.1,16.1,22.3,2.8,2.2,5.1,.147,1.9,1.4,3.3,2.2
Isaiah Stewart,68,1455,16.4,.597,.154,.225,12.0,22.7,17.3,6.3,1.3,5.2,13.0,15.5,1.9,2.1,4.0,.132,-1.6,0.5,-1.1,0.3
Jordan Clarkson,68,1818,17.1,.549,.557,.134,2.9,12.7,8.0,15.3,1.6,0.4,9.2,29.7,1.7,2.5,4.2,.111,1.8,-0.4,1.4,1.6
Derrick Favors,68,1039,19.7,.663,.008,.329,14.7,23.3,19.2,6.0,1.5,5.3,11.5,13.0,2.9,2.2,5.1,.237,0.3,2.4,2.6,1.2
Jalen Brunson,68,1697,17.1,.618,.319,.241,1.8,13.1,7.5,21.3,1.0,0.1,10.3,20.2,3.9,1.1,5.1,.143,1.5,-0.6,0.9,1.2
Jeff Green,68,1835,13.0,.624,.472,.304,2.2,13.1,7.9,7.8,0.9,1.3,8.2,15.6,2.9,1.2,4.1,.107,0.0,-0.9,-0.8,0.6
Khris Middleton,68,2269,18.2,.588,.340,.220,2.6,15.7,9.4,23.2,1.5,0.4,13.1,25.0,4.1,2.2,6.4,.135,1.7,-0.3,1.3,1.9
Damian Lillard,67,2398,25.6,.623,.528,.363,1.4,11.5,6.3,34.6,1.3,0.6,11.6,31.4,9.6,0.8,10.4,.209,7.5,-1.3,6.3,5.0
Kentavious Caldwell-Pope,67,1902,10.7,.588,.579,.221,1.6,8.9,5.3,9.2,1.6,1.2,10.6,14.2,1.6,2.6,4.2,.107,-1.6,1.0,-0.5,0.7
Dillon Brooks,67,1997,12.1,.515,.361,.189,2.8,7.7,5.2,11.7,1.9,1.2,9.6,26.1,-0.5,1.8,1.4,.033,-2.6,-1.1,-3.7,-0.9
Dejounte Murray,67,2139,16.5,.509,.204,.138,2.8,21.1,11.8,25.9,2.3,0.3,10.2,23.4,0.7,2.6,3.3,.074,-0.2,1.0,0.8,1.5
Kent Bazemore,67,1333,10.6,.564,.469,.199,2.1,16.0,9.1,11.1,2.4,2.2,16.1,16.3,-0.2,2.1,1.8,.065,-2.9,1.7,-1.2,0.2
Isaac Okoro,67,2173,7.9,.514,.383,.281,3.4,7.3,5.3,8.6,1.4,1.0,12.0,14.3,-0.1,1.0,0.9,.020,-4.2,-0.9,-5.1,-1.7
Joe Ingles,67,1867,15.9,.672,.722,.160,1.6,11.8,6.9,24.0,1.2,0.5,16.3,16.6,4.7,2.3,7.0,.180,2.6,0.9,3.5,2.6
Devin Booker,67,2270,19.2,.587,.288,.305,1.7,12.1,7.0,20.6,1.2,0.6,12.4,32.7,2.9,2.0,4.9,.104,1.7,-1.4,0.3,1.3
Nicolas Batum,67,1835,12.9,.617,.660,.141,3.2,15.9,9.7,10.5,1.9,1.8,10.8,11.8,2.7,2.3,5.0,.132,0.6,1.5,2.1,1.9
Reggie Jackson,67,1544,14.2,.576,.482,.140,1.8,11.9,7.0,19.0,1.3,0.4,10.6,19.9,2.3,1.4,3.7,.115,0.6,-0.2,0.4,0.9
Terance Mann,67,1263,13.8,.603,.260,.269,5.1,16.1,10.8,11.3,1.1,0.9,9.3,15.1,2.4,1.3,3.7,.141,-0.5,0.3,-0.2,0.6
Kenrich Williams,66,1426,14.0,.599,.285,.153,6.1,14.0,10.0,16.4,1.8,1.1,14.8,15.3,1.6,1.2,2.8,.096,-1.2,0.5,-0.7,0.4
Luka Dončić,66,2262,25.3,.587,.406,.349,2.7,22.9,12.8,44.1,1.4,1.5,15.3,36.0,5.1,2.6,7.7,.163,6.1,0.7,6.8,5.1
Donte DiVincenzo,66,1814,13.0,.542,.574,.118,4.9,16.7,11.0,14.2,1.9,0.7,12.5,16.7,1.5,2.1,3.6,.095,-0.2,0.4,0.3,1.0
Bobby Portis,66,1372,19.9,.598,.263,.122,9.9,25.3,17.9,7.4,1.8,1.7,8.2,20.9,2.8,2.0,4.8,.167,1.8,-0.4,1.5,1.2
Payton Pritchard,66,1268,12.4,.582,.593,.108,2.9,11.1,6.9,13.3,1.4,0.7,10.8,16.7,1.6,0.9,2.5,.095,-0.3,-0.4,-0.7,0.4
Doug McDermott,66,1619,15.6,.635,.430,.147,4.0,10.7,7.4,7.8,0.6,0.3,7.0,20.0,3.1,0.7,3.8,.112,1.4,-2.0,-0.6,0.6
Aaron Holiday,66,1176,9.2,.503,.417,.190,1.4,6.8,4.1,14.0,1.8,0.9,12.3,19.5,-0.6,0.8,0.2,.009,-3.3,-0.9,-4.2,-0.7
Miles Bridges,66,1932,14.7,.625,.466,.182,4.5,18.0,11.1,11.4,1.1,2.7,13.6,17.3,2.4,1.9,4.2,.105,0.2,0.1,0.2,1.1
Bismack Biyombo,66,1349,11.7,.574,.004,.434,10.8,17.1,13.9,8.3,0.6,5.4,19.8,11.5,0.9,1.4,2.3,.081,-3.4,0.4,-3.0,-0.4
Talen Horton-Tucker,65,1304,12.9,.536,.268,.264,2.2,12.3,7.3,20.8,2.4,1.4,16.1,21.7,-0.1,2.2,2.1,.078,-2.6,1.5,-1.2,0.3
Théo Maledon,65,1778,8.2,.489,.510,.220,1.4,11.0,6.2,18.8,1.5,0.5,17.3,19.4,-1.9,1.1,-0.8,-0.021,-4.0,-1.0,-5.0,-1.3
Facundo Campazzo,65,1425,11.6,.558,.686,.289,1.8,8.9,5.3,20.2,2.7,1.0,17.1,13.1,1.6,1.5,3.1,.105,-1.7,1.2,-0.6,0.5
Bruce Brown,65,1451,16.1,.604,.139,.277,8.9,17.2,13.3,9.8,1.9,1.7,10.2,15.9,2.8,1.5,4.4,.144,-0.4,0.2,-0.1,0.7
Reggie Bullock,65,1949,11.1,.606,.709,.098,0.9,11.4,6.2,7.4,1.3,0.5,7.1,14.4,2.3,2.3,4.6,.114,-0.9,0.8,-0.1,0.9
Russell Westbrook,65,2369,19.5,.509,.221,.334,4.9,28.6,16.8,48.6,1.7,0.8,18.0,30.2,0.5,3.2,3.7,.075,2.6,1.1,3.7,3.4
Matisse Thybulle,65,1298,10.1,.508,.588,.074,2.6,7.8,5.3,6.3,3.9,4.9,11.3,9.4,0.1,2.7,2.8,.102,-2.6,4.5,1.9,1.3
Anfernee Simons,64,1104,12.3,.589,.703,.142,1.3,12.5,6.8,11.4,0.8,0.6,9.2,18.3,1.5,0.3,1.8,.078,0.6,-1.6,-1.0,0.3
Jarred Vanderbilt,64,1139,16.2,.612,.021,.432,10.8,24.7,17.5,9.3,2.7,3.5,15.9,12.3,1.6,1.5,3.1,.132,-1.4,1.4,-0.1,0.5
Nerlens Noel,64,1547,14.8,.638,.013,.314,10.1,18.4,14.3,4.1,2.3,8.7,20.4,9.2,1.6,3.6,5.2,.162,-2.4,3.8,1.4,1.3
Immanuel Quickley,64,1243,15.8,.557,.522,.300,2.2,9.7,6.0,16.2,1.2,0.9,8.1,25.6,1.8,1.4,3.2,.125,1.4,-0.5,0.9,0.9
Bam Adebayo,64,2143,22.7,.626,.010,.443,7.7,22.6,15.3,26.9,1.7,3.2,15.0,23.7,5.6,3.2,8.8,.197,2.9,2.0,4.9,3.7
Jayson Tatum,64,2290,21.3,.576,.368,.258,2.4,20.7,11.5,20.3,1.6,1.3,10.4,30.8,4.1,2.5,6.5,.137,4.2,-0.3,3.9,3.4
Raul Neto,64,1403,13.0,.575,.367,.190,2.1,9.6,5.9,14.0,2.4,0.4,9.9,15.8,1.5,1.3,2.8,.097,-1.4,0.9,-0.6,0.5
Garrison Mathews,64,1038,9.7,.635,.835,.401,1.6,7.2,4.4,3.1,1.3,0.6,3.5,11.5,1.7,0.6,2.3,.108,-1.7,-0.1,-1.8,0.1
P.J. Washington,64,1954,13.4,.549,.423,.211,5.1,18.3,11.6,12.2,1.7,4.0,14.6,19.4,0.3,2.4,2.7,.066,-1.5,0.6,-0.9,0.6
Ja Morant,63,2053,16.7,.537,.252,.389,3.0,10.1,6.5,33.5,1.3,0.6,15.3,27.2,1.6,1.6,3.2,.074,1.3,-1.6,-0.4,0.8
Rudy Gay,63,1358,14.7,.532,.443,.162,3.2,20.9,11.9,9.7,1.6,2.5,8.8,23.6,0.0,1.7,1.7,.059,-0.1,0.0,-0.1,0.6
Stephen Curry,63,2152,26.3,.655,.587,.289,1.5,15.4,8.5,30.5,1.7,0.3,12.2,34.8,6.5,2.5,9.0,.201,8.3,0.4,8.7,5.8
Draymond Green,63,1982,13.3,.530,.332,.232,3.0,20.9,12.1,36.4,2.5,2.3,31.0,13.1,1.2,3.4,4.6,.112,-1.6,3.3,1.7,1.9
Jaden McDaniels,63,1511,8.9,.552,.540,.123,3.6,13.4,8.3,6.4,1.1,3.4,10.8,12.0,0.5,0.9,1.4,.046,-3.3,-0.2,-3.5,-0.6
Dean Wade,63,1212,11.3,.573,.685,.125,3.4,16.8,9.9,8.9,1.4,1.5,8.4,12.9,1.1,0.9,2.0,.080,-1.1,-0.1,-1.3,0.2
Luke Kennard,63,1232,12.7,.608,.541,.075,1.4,13.0,7.3,11.9,0.9,0.7,10.1,17.1,1.6,1.1,2.7,.105,0.3,-0.5,-0.2,0.6
Elfrid Payton,63,1484,11.7,.478,.158,.172,4.7,11.0,7.9,21.6,1.6,0.6,13.3,23.2,-0.9,1.9,1.0,.032,-2.9,-0.1,-3.0,-0.4
Trae Young,63,2125,23.0,.589,.357,.491,2.0,10.5,6.3,45.5,1.2,0.5,16.2,33.0,5.9,1.3,7.2,.163,5.3,-1.7,3.7,3.0
Clint Capela,63,1898,24.3,.601,.000,.327,17.5,34.3,26.1,4.1,1.1,6.0,8.4,19.9,4.9,3.3,8.2,.207,2.7,0.0,2.7,2.2
John Collins,63,1848,20.6,.645,.270,.265,7.1,20.3,13.8,6.9,0.9,3.0,8.9,22.2,4.8,1.9,6.7,.174,2.5,-0.2,2.3,2.0
Andre Iguodala,63,1339,9.2,.519,.734,.153,3.3,15.4,9.4,14.3,2.1,2.7,20.2,11.2,-0.1,1.8,1.7,.062,-2.2,1.8,-0.4,0.5
Grant Williams,63,1138,7.5,.546,.522,.206,4.7,12.8,8.7,7.4,1.4,2.0,17.2,12.3,0.1,1.0,1.1,.046,-4.0,0.3,-3.7,-0.5
Shake Milton,63,1461,14.6,.549,.304,.264,2.5,8.5,5.6,20.3,1.3,1.1,12.2,24.9,1.1,1.6,2.8,.091,-0.7,-1.0,-1.6,0.1
Jonas Valančiūnas,62,1755,24.4,.636,.077,.273,15.1,31.9,23.4,10.0,1.0,2.9,10.7,22.4,5.1,2.6,7.8,.213,3.2,-0.3,3.0,2.2
Devin Vassell,62,1056,10.6,.524,.495,.168,2.4,15.4,8.8,7.1,2.0,1.4,6.3,14.3,0.4,1.1,1.5,.069,-2.2,0.7,-1.5,0.1
Denzel Valentine,62,1036,10.1,.479,.582,.041,2.6,18.3,10.5,14.0,1.4,0.6,9.0,19.5,-0.4,1.1,0.7,.032,-2.2,-0.4,-2.7,-0.2
Josh Jackson,62,1560,12.0,.516,.364,.308,4.0,14.2,9.1,15.1,1.7,2.6,15.0,26.5,-1.6,1.7,0.1,.004,-2.5,-0.5,-3.0,-0.4
Trey Burke,62,911,12.6,.544,.465,.161,1.2,5.3,3.3,12.9,1.9,0.7,8.0,20.0,0.7,0.7,1.4,.071,-1.4,-0.4,-1.8,0.0
Obi Toppin,62,683,12.7,.574,.407,.124,4.2,17.6,11.0,6.4,1.2,2.1,9.4,15.9,0.5,1.0,1.5,.109,-1.4,0.7,-0.7,0.2
Domantas Sabonis,62,2231,20.6,.601,.179,.363,7.3,28.6,18.0,27.5,1.6,1.2,16.9,24.1,4.0,3.0,6.9,.149,2.3,1.6,3.8,3.3
Tobias Harris,62,2014,20.0,.597,.225,.221,3.5,19.2,11.4,17.6,1.3,2.3,9.5,23.9,4.1,3.1,7.1,.170,2.9,0.8,3.7,2.9
Dennis Schröder,61,1956,13.8,.543,.279,.320,1.7,10.3,6.1,26.9,1.7,0.6,15.8,22.9,1.0,2.7,3.8,.093,-1.3,0.1,-1.2,0.4
Markieff Morris,61,1200,9.3,.509,.553,.132,4.5,20.3,12.5,8.6,0.9,1.4,11.9,16.4,-0.2,1.8,1.6,.062,-2.9,0.3,-2.6,-0.2
DeMar DeRozan,61,2056,22.0,.591,.080,.478,2.0,11.6,6.7,32.0,1.3,0.6,9.7,26.1,5.9,1.5,7.4,.172,3.2,-0.1,3.1,2.6
Kevon Looney,61,1161,11.9,.575,.086,.244,10.9,18.6,14.8,13.4,0.8,1.7,14.5,9.4,2.0,1.4,3.4,.139,-1.8,1.0,-0.9,0.3
Brandon Ingram,61,2093,19.2,.584,.341,.291,1.8,13.7,7.8,22.4,1.0,1.6,11.0,28.0,3.9,1.3,5.3,.120,3.3,-1.1,2.2,2.2
Zion Williamson,61,2026,27.1,.649,.033,.510,8.9,14.7,11.8,19.7,1.3,1.8,11.6,29.8,7.1,1.6,8.7,.205,6.1,-0.3,5.8,4.0
Richaun Holmes,61,1782,20.2,.669,.019,.296,8.8,22.7,15.7,8.3,1.1,4.6,10.3,17.5,4.7,1.4,6.1,.165,0.6,0.0,0.6,1.2
Isaiah Roby,61,1425,11.9,.555,.254,.273,6.4,18.6,12.4,11.4,1.7,2.3,19.0,17.7,-0.3,1.5,1.3,.043,-3.7,0.4,-3.3,-0.5
Stanley Johnson,61,1006,8.8,.519,.588,.236,3.1,14.1,8.4,12.0,2.5,1.8,17.4,13.4,-0.1,1.1,1.0,.048,-3.8,1.2,-2.5,-0.1
Michael Porter Jr.,61,1912,20.6,.663,.468,.164,5.4,20.9,13.2,5.6,1.0,2.8,8.1,21.7,4.8,2.1,6.9,.173,4.0,-0.9,3.1,2.5
Landry Shamet,61,1403,10.3,.578,.730,.171,0.9,7.6,4.4,9.3,1.1,0.6,8.9,16.7,1.2,0.6,1.8,.063,-1.0,-1.5,-2.4,-0.2
Giannis Antetokounmpo,61,2013,29.2,.633,.201,.528,5.3,28.9,17.5,28.7,1.7,3.2,13.2,32.5,6.9,3.3,10.2,.244,6.2,2.8,9.0,5.6
Precious Achiuwa,61,737,14.2,.550,.004,.482,11.5,20.6,16.1,6.1,1.3,4.0,13.5,19.5,0.3,1.0,1.3,.085,-3.6,-0.5,-4.1,-0.4
Tyrese Maxey,61,935,14.5,.531,.240,.163,1.3,10.8,6.1,19.9,1.3,1.2,8.2,23.0,0.8,1.1,1.9,.099,-1.0,-0.5,-1.5,0.1
Lonnie Walker IV,60,1522,9.8,.523,.463,.115,1.0,10.1,5.4,9.6,0.9,0.8,9.2,20.1,-0.5,0.9,0.4,.012,-2.3,-1.4,-3.7,-0.7
Mychal Mulder,60,766,10.8,.613,.808,.083,1.1,7.1,4.2,4.8,0.7,1.4,5.5,16.2,0.6,0.6,1.2,.075,-0.6,-1.2,-1.8,0.0
Jaxson Hayes,60,964,19.1,.675,.050,.429,10.4,18.6,14.5,5.2,1.2,3.7,10.5,16.2,2.6,1.0,3.5,.176,0.6,0.0,0.6,0.6
Chris Boucher,60,1453,21.9,.634,.420,.345,8.5,22.5,15.3,6.9,1.2,7.6,6.7,20.5,4.0,2.1,6.1,.201,2.7,0.6,3.3,2.0
Collin Sexton,60,2115,18.0,.573,.239,.347,3.0,7.0,4.9,22.6,1.4,0.4,11.6,29.7,2.6,0.9,3.5,.080,1.8,-1.9,-0.2,1.0
Jae Crowder,60,1648,11.8,.574,.772,.152,2.2,16.9,9.7,10.0,1.4,1.5,9.5,15.7,1.4,1.9,3.3,.097,0.3,0.8,1.1,1.3
Cameron Johnson,60,1437,11.8,.563,.694,.122,2.6,12.9,7.9,8.0,1.3,1.0,7.3,17.0,1.2,1.4,2.6,.086,0.0,-0.2,-0.2,0.7
Cameron Payne,60,1079,17.4,.602,.420,.142,1.7,13.2,7.6,28.1,1.6,1.3,12.5,19.8,2.4,1.2,3.6,.158,2.1,1.0,3.1,1.4
